NAMOBJ,jumlah_ws,luas_ws_km2,jumlah_das,luas_das_km2
Manokwari Selatan,1,1837.09,30,1837.09
Mappi,1,23839.23,7,23839.23
Maros,3,1443.63,10,1443.63
Maybrat,1,5385.68,4,5385.68
Melawi,5,10122.51,5,10122.51
Mempawah,2,1935.42,19,1935.42
Merangin,4,7540.12,8,7540.12
Merauke,1,44971.98,24,44971.98
Mesuji,1,2200.41,2,2200.41
Mimika,3,18294.27,45,18294.27
Minahasa,2,1128.44,98,1128.44
Minahasa Selatan,2,1456.67,88,1456.67
Minahasa Selatan/Bolaang Mongondwo Timur,1,6.53,1,6.53
Minahasa Tenggara,3,753.08,50,753.08
Minahasa Utara,1,995.45,136,995.45
Mojokerto,2,984.64,3,984.64
Morowali,3,4486.82,294,4486.82
Morowali Utara,4,8736.01,184,8736.01
Muara Enim,2,6763.91,4,6763.91
Muaro Jambi,3,5159.62,7,5159.62
Muko Muko,3,4138.68,20,4138.68
Muna,3,1858.09,148,1858.09
Muna Barat,2,818.7,67,818.7
Murung Raya,4,23575.33,4,23575.33
Musi Banyuasin,2,14550.79,7,14550.79
Musi Rawas,2,6122.59,2,6122.59
Musi Rawas Utara,3,5937.8,4,5937.8
Nabire,2,11806.08,194,11806.08
Nagan Raya,2,3524.15,10,3524.15
Nagekeo,1,1396.16,98,1396.16
Natuna,1,1999.14,198,1999.14
Nduga,1,5886.89,1,5886.89
Ngada,1,1735.64,125,1735.64
Nganjuk,2,1289.07,2,1289.07
Ngawi,2,1395.8,2,1395.8
Nias,1,902.4,18,902.4
Nias Barat,1,462.53,16,462.53
Nias Selatan,2,2531.54,113,2531.54
Nias Utara,1,1237.16,29,1237.16
Nunukan,2,13562.98,125,13562.98
Ogan Ilir,1,2302.86,1,2302.86
Ogan Komering Ilir,2,17064.11,18,17064.11
Ogan Komering Ulu,1,3774.5,1,3774.5
Ogan Komering Ulu Selatan,4,4369.25,8,4369.25
Ogan Komering Ulu Timur,2,3412.72,3,3412.72
Pacitan,2,1433.59,77,1433.59
Padang Lawas,3,3914.41,3,3914.41
Padang Lawas Utara,3,3945.56,3,3945.56
Padang Pariaman,2,1342.27,30,1342.27
Pakpak Bharat,1,1365.61,2,1365.61
Pamekasan,1,795.15,41,795.15
Pandeglang,3,2771.41,295,2771.41
Pangandaran,2,1128.15,32,1128.15
Pangkajene Dan Kepulauan,3,888.35,219,888.35
Paniai,3,5306.87,7,5306.87
Parigi Moutong,4,5805.61,263,5805.61
Pasaman,5,3902.44,6,3902.44
Pasaman Barat,4,3852.22,44,3852.22
Pasangkayu,2,2903.17,39,2903.17
Paser,4,10780.19,25,10780.19
Pasuruan,2,1493.29,17,1493.29
