nama_das,nama_ws_induk,luas_das_km2
KANGAIK,WS ANAI-SIBERUT-PAGAI-SIPORA,0.01
KASEKSEK,WS ANAI-SIBERUT-PAGAI-SIPORA,0.0
KABIAU,WS ANAI-SIBERUT-PAGAI-SIPORA,0.0
KAPINIRE,WS ANAI-SIBERUT-PAGAI-SIPORA,0.0
TUGIS,WS ANAI-SIBERUT-PAGAI-SIPORA,0.0
JANJUNG,WS ANAI-SIBERUT-PAGAI-SIPORA,0.0
SIMAAGAI,WS ANAI-SIBERUT-PAGAI-SIPORA,0.0
RURUIKAN,WS ANAI-SIBERUT-PAGAI-SIPORA,0.0
SIMALAMBAT,WS ANAI-SIBERUT-PAGAI-SIPORA,0.0
SIMASEPU,WS ANAI-SIBERUT-PAGAI-SIPORA,0.0
KOIJANAN,WS ANAI-SIBERUT-PAGAI-SIPORA,0.0
PUPUT,WS ANAI-SIBERUT-PAGAI-SIPORA,0.0
NANAM,WS ANAI-SIBERUT-PAGAI-SIPORA,0.0
LAGAK,WS ANAI-SIBERUT-PAGAI-SIPORA,0.0
SIMASABA,WS ANAI-SIBERUT-PAGAI-SIPORA,0.0
SIMALEITIK,WS ANAI-SIBERUT-PAGAI-SIPORA,0.0
SIKOPSAGU,WS ANAI-SIBERUT-PAGAI-SIPORA,0.0
ERUKMANUA,WS ANAI-SIBERUT-PAGAI-SIPORA,0.0
PULAU BAKEH,WS ANAI-SIBERUT-PAGAI-SIPORA,0.0
DURIAT,WS ANAI-SIBERUT-PAGAI-SIPORA,0.0
KADUBOU,WS ANAI-SIBERUT-PAGAI-SIPORA,0.0
KAGORONG,WS ANAI-SIBERUT-PAGAI-SIPORA,0.0
KAPONAIKI,WS ANAI-SIBERUT-PAGAI-SIPORA,0.0
KAPANUNTUAT,WS ANAI-SIBERUT-PAGAI-SIPORA,0.0
BAGA,WS ANAI-SIBERUT-PAGAI-SIPORA,0.0
TETEI,WS ANAI-SIBERUT-PAGAI-SIPORA,0.0
PELA,WS ANAI-SIBERUT-PAGAI-SIPORA,0.0
KASASAREU,WS ANAI-SIBERUT-PAGAI-SIPORA,0.0
KATIRIK OINAN,WS ANAI-SIBERUT-PAGAI-SIPORA,0.0
KAMOGANDA,WS ANAI-SIBERUT-PAGAI-SIPORA,0.0
KAPUNEN SABEU,WS ANAI-SIBERUT-PAGAI-SIPORA,0.0
ANTOKAN,WS ANAI-SIBERUT-PAGAI-SIPORA,485.26
MANGAU,WS ANAI-SIBERUT-PAGAI-SIPORA,257.95
KURANJI,WS ANAI-SIBERUT-PAGAI-SIPORA,213.31
ULAKAN TAPAKIS,WS ANAI-SIBERUT-PAGAI-SIPORA,210.82
ARAU,WS ANAI-SIBERUT-PAGAI-SIPORA,172.45
NARAS,WS ANAI-SIBERUT-PAGAI-SIPORA,165.9
AIR DINGIN,WS ANAI-SIBERUT-PAGAI-SIPORA,132.96
TIKU,WS ANAI-SIBERUT-PAGAI-SIPORA,123.05
PARIAMAN,WS ANAI-SIBERUT-PAGAI-SIPORA,77.31
GASANGADANG,WS ANAI-SIBERUT-PAGAI-SIPORA,69.11
BUNGUS,WS ANAI-SIBERUT-PAGAI-SIPORA,42.33
CIMPAGO,WS ANAI-SIBERUT-PAGAI-SIPORA,34.13
SUNGAI LIMAU,WS ANAI-SIBERUT-PAGAI-SIPORA,32.23
SIMBU,WS ANAI-SIBERUT-PAGAI-SIPORA,31.81
PAINGANGADANG,WS ANAI-SIBERUT-PAGAI-SIPORA,30.39
KAMUMUAN,WS ANAI-SIBERUT-PAGAI-SIPORA,21.85
SAMPAN,WS ANAI-SIBERUT-PAGAI-SIPORA,17.96
ULAKAN KETEK,WS ANAI-SIBERUT-PAGAI-SIPORA,16.88
BANDA GADANG,WS ANAI-SIBERUT-PAGAI-SIPORA,15.63
JILATANG,WS ANAI-SIBERUT-PAGAI-SIPORA,11.19
SARIK,WS ANAI-SIBERUT-PAGAI-SIPORA,9.39
PANASAHAN,WS ANAI-SIBERUT-PAGAI-SIPORA,5.25
SUNGAI BARAMAS,WS ANAI-SIBERUT-PAGAI-SIPORA,3.41
SIGURUNG,WS ANAI-SIBERUT-PAGAI-SIPORA,3.24
SUNGAI PAKU,WS ANAI-SIBERUT-PAGAI-SIPORA,3.22
TELUK BAYUR,WS ANAI-SIBERUT-PAGAI-SIPORA,2.11
AIR MANIS,WS ANAI-SIBERUT-PAGAI-SIPORA,1.85
PANEHPAINGAN,WS ANAI-SIBERUT-PAGAI-SIPORA,1.59
SUNGAISARIK,WS ANAI-SIBERUT-PAGAI-SIPORA,1.33
KURANJIPIAMAN,WS ANAI-SIBERUT-PAGAI-SIPORA,0.79
KANTAROK,WS ANAI-SIBERUT-PAGAI-SIPORA,0.73
SIMPANGKALAMPAIAN,WS ANAI-SIBERUT-PAGAI-SIPORA,0.69
AMPALAM,WS ANAI-SIBERUT-PAGAI-SIPORA,0.45
LOHONG,WS ANAI-SIBERUT-PAGAI-SIPORA,0.33
AIR MANIS PIAMAN,WS ANAI-SIBERUT-PAGAI-SIPORA,0.31
TORAN,WS ANAI-SIBERUT-PAGAI-SIPORA,0.28
PULAU PISANG BESAR,WS ANAI-SIBERUT-PAGAI-SIPORA,0.24
PULAU PANDAN,WS ANAI-SIBERUT-PAGAI-SIPORA,0.16
PULAU BINDALANG 1,WS ANAI-SIBERUT-PAGAI-SIPORA,0.14
PULAU PIEH,WS ANAI-SIBERUT-PAGAI-SIPORA,0.11
PULAU UJUNG 1,WS ANAI-SIBERUT-PAGAI-SIPORA,0.07
PULAU BANDO,WS ANAI-SIBERUT-PAGAI-SIPORA,0.07
PULAU TANGAH,WS ANAI-SIBERUT-PAGAI-SIPORA,0.06
PULAU SINAYRU,WS ANAI-SIBERUT-PAGAI-SIPORA,0.05
PULAU AIR,WS ANAI-SIBERUT-PAGAI-SIPORA,0.05
PULAU KASIEK,WS ANAI-SIBERUT-PAGAI-SIPORA,0.04
PULAU TENGAH,WS ANAI-SIBERUT-PAGAI-SIPORA,0.05
PULAU ANGSO,WS ANAI-SIBERUT-PAGAI-SIPORA,0.04
PULAU SIBUNTAR GADANG,WS ANAI-SIBERUT-PAGAI-SIPORA,0.02
PULAU SAUH,WS ANAI-SIBERUT-PAGAI-SIPORA,0.03
PULAU UJUNG 2,WS ANAI-SIBERUT-PAGAI-SIPORA,0.03
PISANG KECIL,WS ANAI-SIBERUT-PAGAI-SIPORA,0.02
PULAU KASIK,WS ANAI-SIBERUT-PAGAI-SIPORA,0.01
PULAU PASIR,WS ANAI-SIBERUT-PAGAI-SIPORA,0.01
PULAU SIBUNTAR KETEK,WS ANAI-SIBERUT-PAGAI-SIPORA,0.01
GOSONG LAUT,WS ANAI-SIBERUT-PAGAI-SIPORA,0.0
PULAU BINDALANG 2,WS ANAI-SIBERUT-PAGAI-SIPORA,0.0
PULAU KASIK,WS ANAI-SIBERUT-PAGAI-SIPORA,0.0
PULAU GOSONG,WS ANAI-SIBERUT-PAGAI-SIPORA,0.02
ANAI,WS ANAI-SIBERUT-PAGAI-SIPORA,688.83
MATOBAT,WS ANAI-SIBERUT-PAGAI-SIPORA,170.04
SIKOKO,WS ANAI-SIBERUT-PAGAI-SIPORA,112.61
SIPETPET MOPUPOU,WS ANAI-SIBERUT-PAGAI-SIPORA,73.58
BALERAKSOK,WS ANAI-SIBERUT-PAGAI-SIPORA,61.06
TALOKPULEI,WS ANAI-SIBERUT-PAGAI-SIPORA,47.72
SAUMANGANYA,WS ANAI-SIBERUT-PAGAI-SIPORA,47.2
MATOBE,WS ANAI-SIBERUT-PAGAI-SIPORA,46.22
MALAKOI,WS ANAI-SIBERUT-PAGAI-SIPORA,36.9
ABANBAGA LABANJAU,WS ANAI-SIBERUT-PAGAI-SIPORA,36.51
SIMALACO TUMALEI,WS ANAI-SIBERUT-PAGAI-SIPORA,31.61
SOPAKSEBEU,WS ANAI-SIBERUT-PAGAI-SIPORA,30.17
SEPPUNGAN,WS ANAI-SIBERUT-PAGAI-SIPORA,28.92
SABEUGUNGGUNG,WS ANAI-SIBERUT-PAGAI-SIPORA,26.05
PANGETU,WS ANAI-SIBERUT-PAGAI-SIPORA,24.52
BERESABEU BERESIGOISO,WS ANAI-SIBERUT-PAGAI-SIPORA,19.57
BETUMONGA,WS ANAI-SIBERUT-PAGAI-SIPORA,17.66
SIBUTEMONE,WS ANAI-SIBERUT-PAGAI-SIPORA,17.38
SIOMANG,WS ANAI-SIBERUT-PAGAI-SIPORA,17.13
BUBUGET,WS ANAI-SIBERUT-PAGAI-SIPORA,16.79
BALAGIGI TAPAK,WS ANAI-SIBERUT-PAGAI-SIPORA,16.28
GULUGULUK MATEGGAILU,WS ANAI-SIBERUT-PAGAI-SIPORA,13.91
BATSAGAI,WS ANAI-SIBERUT-PAGAI-SIPORA,13.87
TAITAITANOPO SIMALEPET 1,WS ANAI-SIBERUT-PAGAI-SIPORA,13.5
SILABU,WS ANAI-SIBERUT-PAGAI-SIPORA,12.87
SIMALETU,WS ANAI-SIBERUT-PAGAI-SIPORA,12.67
BERITARIKAP,WS ANAI-SIBERUT-PAGAI-SIPORA,11.06
MANGAUNGAU BESAR,WS ANAI-SIBERUT-PAGAI-SIPORA,11.05
MAKALO SILAIGAT,WS ANAI-SIBERUT-PAGAI-SIPORA,10.76
BULATMONGA,WS ANAI-SIBERUT-PAGAI-SIPORA,10.66
SILABU TUMALEI,WS ANAI-SIBERUT-PAGAI-SIPORA,9.9
SIMAGUIRU,WS ANAI-SIBERUT-PAGAI-SIPORA,9.86
BAKE,WS ANAI-SIBERUT-PAGAI-SIPORA,9.12
BUBUAKAT,WS ANAI-SIBERUT-PAGAI-SIPORA,9.09
BASUABAYA,WS ANAI-SIBERUT-PAGAI-SIPORA,8.91
BUKUMONGA,WS ANAI-SIBERUT-PAGAI-SIPORA,8.54
SIMAGEGE,WS ANAI-SIBERUT-PAGAI-SIPORA,7.82
MASINGIANG SIMANADAT,WS ANAI-SIBERUT-PAGAI-SIPORA,7.58
MAPINANGBAGA,WS ANAI-SIBERUT-PAGAI-SIPORA,7.38
BARUBARU,WS ANAI-SIBERUT-PAGAI-SIPORA,7.06
PASAPUATSABEU,WS ANAI-SIBERUT-PAGAI-SIPORA,6.87
BERILOGA SABEU,WS ANAI-SIBERUT-PAGAI-SIPORA,6.74
PINEMPET,WS ANAI-SIBERUT-PAGAI-SIPORA,6.64
BORIAIBARU,WS ANAI-SIBERUT-PAGAI-SIPORA,6.32
KASOI,WS ANAI-SIBERUT-PAGAI-SIPORA,6.15
MARA,WS ANAI-SIBERUT-PAGAI-SIPORA,5.41
MABOSUA,WS ANAI-SIBERUT-PAGAI-SIPORA,5.37
MANGKABAGA,WS ANAI-SIBERUT-PAGAI-SIPORA,5.34
SIMAKODDIAI,WS ANAI-SIBERUT-PAGAI-SIPORA,5.32
BATURUI,WS ANAI-SIBERUT-PAGAI-SIPORA,5.24
RAKRAKJOJA,WS ANAI-SIBERUT-PAGAI-SIPORA,5.09
SIMALILIMO 1,WS ANAI-SIBERUT-PAGAI-SIPORA,4.88
SILAPLAP,WS ANAI-SIBERUT-PAGAI-SIPORA,4.83
MASUGUNAI,WS ANAI-SIBERUT-PAGAI-SIPORA,4.82
SIBIGEU,WS ANAI-SIBERUT-PAGAI-SIPORA,4.72
BOSORA,WS ANAI-SIBERUT-PAGAI-SIPORA,4.72
BAGATSAGAIMAL,WS ANAI-SIBERUT-PAGAI-SIPORA,4.59
SILAIPINANG,WS ANAI-SIBERUT-PAGAI-SIPORA,4.53
SIAY,WS ANAI-SIBERUT-PAGAI-SIPORA,4.5
PINATERE,WS ANAI-SIBERUT-PAGAI-SIPORA,4.45
BATAJA,WS ANAI-SIBERUT-PAGAI-SIPORA,4.35
BEUBUKKU,WS ANAI-SIBERUT-PAGAI-SIPORA,4.35
ASAHANPAGAI,WS ANAI-SIBERUT-PAGAI-SIPORA,4.27
BAGAJAU,WS ANAI-SIBERUT-PAGAI-SIPORA,4.26
SARWATRIK,WS ANAI-SIBERUT-PAGAI-SIPORA,4.09
PASAUATSIGOISO,WS ANAI-SIBERUT-PAGAI-SIPORA,4.07
MAKUKUET,WS ANAI-SIBERUT-PAGAI-SIPORA,4.05
RIMAU 1,WS ANAI-SIBERUT-PAGAI-SIPORA,3.77
MONGALUMUT,WS ANAI-SIBERUT-PAGAI-SIPORA,3.74
SIBAIBAI,WS ANAI-SIBERUT-PAGAI-SIPORA,3.72
SABEUOINAN,WS ANAI-SIBERUT-PAGAI-SIPORA,3.69
SIMAONAI 1,WS ANAI-SIBERUT-PAGAI-SIPORA,3.68
MUNTAISOBEN,WS ANAI-SIBERUT-PAGAI-SIPORA,3.62
SIGOISOK,WS ANAI-SIBERUT-PAGAI-SIPORA,3.51
TANJUNG SIRATAI,WS ANAI-SIBERUT-PAGAI-SIPORA,3.49
SURATABAN SELATAN,WS ANAI-SIBERUT-PAGAI-SIPORA,3.49
MANGAUNGAU KECIL,WS ANAI-SIBERUT-PAGAI-SIPORA,3.35
TANJUNG KANGIRIP,WS ANAI-SIBERUT-PAGAI-SIPORA,3.29
TAKOUBAGOU,WS ANAI-SIBERUT-PAGAI-SIPORA,3.27
POLADA,WS ANAI-SIBERUT-PAGAI-SIPORA,3.24
SINIAT,WS ANAI-SIBERUT-PAGAI-SIPORA,3.17
SIMABOLA BESAR,WS ANAI-SIBERUT-PAGAI-SIPORA,3.13
PUROUROUGAT,WS ANAI-SIBERUT-PAGAI-SIPORA,3.09
SIMABAKOBAKO,WS ANAI-SIBERUT-PAGAI-SIPORA,3.09
SINGITNGIT,WS ANAI-SIBERUT-PAGAI-SIPORA,3.05
BORIAI SELATAN,WS ANAI-SIBERUT-PAGAI-SIPORA,3.04
PANANGGALAT,WS ANAI-SIBERUT-PAGAI-SIPORA,3.01
ONGA,WS ANAI-SIBERUT-PAGAI-SIPORA,2.98
GABOLAK,WS ANAI-SIBERUT-PAGAI-SIPORA,2.97
TATIRI,WS ANAI-SIBERUT-PAGAI-SIPORA,2.73
GANJO,WS ANAI-SIBERUT-PAGAI-SIPORA,2.7
MASINGIANG BAJAU,WS ANAI-SIBERUT-PAGAI-SIPORA,2.69
SIMALEGUKSABEU,WS ANAI-SIBERUT-PAGAI-SIPORA,2.69
TEONGA,WS ANAI-SIBERUT-PAGAI-SIPORA,2.67
MATONITNIT,WS ANAI-SIBERUT-PAGAI-SIPORA,2.62
SIMANUANG,WS ANAI-SIBERUT-PAGAI-SIPORA,2.6
LIMOSUA LAKAU,WS ANAI-SIBERUT-PAGAI-SIPORA,2.58
TIOP 1,WS ANAI-SIBERUT-PAGAI-SIPORA,2.53
POLAGA,WS ANAI-SIBERUT-PAGAI-SIPORA,2.49
SIRUSA,WS ANAI-SIBERUT-PAGAI-SIPORA,2.47
LILIT LUEU,WS ANAI-SIBERUT-PAGAI-SIPORA,2.4
PULAU SIOMANG,WS ANAI-SIBERUT-PAGAI-SIPORA,2.33
SINAKA,WS ANAI-SIBERUT-PAGAI-SIPORA,2.33
BASUALUMUT,WS ANAI-SIBERUT-PAGAI-SIPORA,2.28
KATAIBOGA,WS ANAI-SIBERUT-PAGAI-SIPORA,2.27
PANGANELIBATJAYA,WS ANAI-SIBERUT-PAGAI-SIPORA,2.27
SIMAMANGGEA,WS ANAI-SIBERUT-PAGAI-SIPORA,2.24
SURATABANJOGALAGAI,WS ANAI-SIBERUT-PAGAI-SIPORA,2.22
SIRAJA,WS ANAI-SIBERUT-PAGAI-SIPORA,2.19
MUNTAISIGOISO,WS ANAI-SIBERUT-PAGAI-SIPORA,2.17
SAGAI SIPAMALI,WS ANAI-SIBERUT-PAGAI-SIPORA,2.17
SIBARUBARU,WS ANAI-SIBERUT-PAGAI-SIPORA,2.12
TUBEKET,WS ANAI-SIBERUT-PAGAI-SIPORA,2.13
SABEUGUNG,WS ANAI-SIBERUT-PAGAI-SIPORA,2.12
PALIMO,WS ANAI-SIBERUT-PAGAI-SIPORA,2.09
SAROASI,WS ANAI-SIBERUT-PAGAI-SIPORA,2.09
PUSAWATSIGOISO,WS ANAI-SIBERUT-PAGAI-SIPORA,2.08
PUGOROIGOJAT,WS ANAI-SIBERUT-PAGAI-SIPORA,2.06
PITOJETSABEU,WS ANAI-SIBERUT-PAGAI-SIPORA,2.05
TAPARABOAT,WS ANAI-SIBERUT-PAGAI-SIPORA,2.04
LIMUSIGOISO,WS ANAI-SIBERUT-PAGAI-SIPORA,2.02
MASIAI,WS ANAI-SIBERUT-PAGAI-SIPORA,2.0
SABIRETBOAT,WS ANAI-SIBERUT-PAGAI-SIPORA,2.0
SIMATAIRESE,WS ANAI-SIBERUT-PAGAI-SIPORA,1.96
SIMAONAI 2,WS ANAI-SIBERUT-PAGAI-SIPORA,1.96
PASONGAN,WS ANAI-SIBERUT-PAGAI-SIPORA,1.96
MABOLA SELATAN,WS ANAI-SIBERUT-PAGAI-SIPORA,1.95
MANYANG BESAR,WS ANAI-SIBERUT-PAGAI-SIPORA,1.94
PASURUAN,WS ANAI-SIBERUT-PAGAI-SIPORA,1.86
BATAJAU,WS ANAI-SIBERUT-PAGAI-SIPORA,1.85
TAEMARA,WS ANAI-SIBERUT-PAGAI-SIPORA,1.82
TANJUNG RASA,WS ANAI-SIBERUT-PAGAI-SIPORA,1.77
MASOTONAN,WS ANAI-SIBERUT-PAGAI-SIPORA,1.73
RABUGI,WS ANAI-SIBERUT-PAGAI-SIPORA,1.69
BEUBUKKU PINANG,WS ANAI-SIBERUT-PAGAI-SIPORA,1.68
SIMALAGIGI,WS ANAI-SIBERUT-PAGAI-SIPORA,1.66
ASANSIGOISOK,WS ANAI-SIBERUT-PAGAI-SIPORA,1.65
BOSUAGIRANG,WS ANAI-SIBERUT-PAGAI-SIPORA,1.65
SABIRET,WS ANAI-SIBERUT-PAGAI-SIPORA,1.65
NYANGNYANG 1,WS ANAI-SIBERUT-PAGAI-SIPORA,1.63
PANATARAT 1,WS ANAI-SIBERUT-PAGAI-SIPORA,1.62
KORITBUAH,WS ANAI-SIBERUT-PAGAI-SIPORA,1.6
MAKOMANGONGO,WS ANAI-SIBERUT-PAGAI-SIPORA,1.6
KORITBUA,WS ANAI-SIBERUT-PAGAI-SIPORA,1.6
PUROROGOAT,WS ANAI-SIBERUT-PAGAI-SIPORA,1.55
BAROASI,WS ANAI-SIBERUT-PAGAI-SIPORA,1.55
SIMALEGU,WS ANAI-SIBERUT-PAGAI-SIPORA,1.54
BERKAT,WS ANAI-SIBERUT-PAGAI-SIPORA,1.54
SIMASUGUNAU,WS ANAI-SIBERUT-PAGAI-SIPORA,1.54
TEIBETUMONGA,WS ANAI-SIBERUT-PAGAI-SIPORA,1.53
NYANGNYANG 2,WS ANAI-SIBERUT-PAGAI-SIPORA,1.53
PULAU SIATANUSA,WS ANAI-SIBERUT-PAGAI-SIPORA,1.5
SURATABAN UTARA,WS ANAI-SIBERUT-PAGAI-SIPORA,1.5
SINAKAK BATSAGAI,WS ANAI-SIBERUT-PAGAI-SIPORA,1.48
BETURUI,WS ANAI-SIBERUT-PAGAI-SIPORA,1.48
MABIO,WS ANAI-SIBERUT-PAGAI-SIPORA,1.46
MANGAUNGAU,WS ANAI-SIBERUT-PAGAI-SIPORA,1.46
SABEUSIGOISO,WS ANAI-SIBERUT-PAGAI-SIPORA,1.46
TANJUNG PENU SIMABAI,WS ANAI-SIBERUT-PAGAI-SIPORA,1.44
MONGADARAI,WS ANAI-SIBERUT-PAGAI-SIPORA,1.44
MUNTAI UTARA,WS ANAI-SIBERUT-PAGAI-SIPORA,1.44
PINATEKTEK,WS ANAI-SIBERUT-PAGAI-SIPORA,1.41
BERESABEU,WS ANAI-SIBERUT-PAGAI-SIPORA,1.4
BULAT MONGA 1,WS ANAI-SIBERUT-PAGAI-SIPORA,1.39
KOSAIBARU,WS ANAI-SIBERUT-PAGAI-SIPORA,1.38
MUNTAI SELATAN,WS ANAI-SIBERUT-PAGAI-SIPORA,1.38
MATOTONAN,WS ANAI-SIBERUT-PAGAI-SIPORA,1.35
NYANGLIT,WS ANAI-SIBERUT-PAGAI-SIPORA,1.33
SABELANUANG,WS ANAI-SIBERUT-PAGAI-SIPORA,1.31
SIGOGOA,WS ANAI-SIBERUT-PAGAI-SIPORA,1.29
JOLUO MAPINANG,WS ANAI-SIBERUT-PAGAI-SIPORA,1.28
TANJUNG TOITET,WS ANAI-SIBERUT-PAGAI-SIPORA,1.26
SIPACABELAH,WS ANAI-SIBERUT-PAGAI-SIPORA,1.26
PAMANUAN SELATAN,WS ANAI-SIBERUT-PAGAI-SIPORA,1.26
SABEUGUGUK,WS ANAI-SIBERUT-PAGAI-SIPORA,1.25
ROASIGOISOK,WS ANAI-SIBERUT-PAGAI-SIPORA,1.24
SIMUNGGUK,WS ANAI-SIBERUT-PAGAI-SIPORA,1.22
JOJATURUI,WS ANAI-SIBERUT-PAGAI-SIPORA,1.21
PUSAOAT,WS ANAI-SIBERUT-PAGAI-SIPORA,1.21
SIMALETUGIRANG,WS ANAI-SIBERUT-PAGAI-SIPORA,1.21
SIPOINENG,WS ANAI-SIBERUT-PAGAI-SIPORA,1.2
TAMAPINANG,WS ANAI-SIBERUT-PAGAI-SIPORA,1.2
PASIBUAT,WS ANAI-SIBERUT-PAGAI-SIPORA,1.2
PUROROGAT 2,WS ANAI-SIBERUT-PAGAI-SIPORA,1.19
MABOLAK SELATAN,WS ANAI-SIBERUT-PAGAI-SIPORA,1.19
PINAIRUK,WS ANAI-SIBERUT-PAGAI-SIPORA,1.18
PARAKBATU,WS ANAI-SIBERUT-PAGAI-SIPORA,1.17
SIPAMALI,WS ANAI-SIBERUT-PAGAI-SIPORA,1.14
BOSOAGALAT,WS ANAI-SIBERUT-PAGAI-SIPORA,1.14
TIOPSIGOISO,WS ANAI-SIBERUT-PAGAI-SIPORA,1.13
ASAHAN,WS ANAI-SIBERUT-PAGAI-SIPORA,1.13
MAUNAI BAKO,WS ANAI-SIBERUT-PAGAI-SIPORA,1.12
PERIPANGAN,WS ANAI-SIBERUT-PAGAI-SIPORA,1.1
SIOPASABEU,WS ANAI-SIBERUT-PAGAI-SIPORA,1.1
TERELETU,WS ANAI-SIBERUT-PAGAI-SIPORA,1.09
BAKAT MANYANG,WS ANAI-SIBERUT-PAGAI-SIPORA,1.06
BABUIGEA,WS ANAI-SIBERUT-PAGAI-SIPORA,1.06
PUROROGAT 1,WS ANAI-SIBERUT-PAGAI-SIPORA,1.06
MAPOUPOUMONGA,WS ANAI-SIBERUT-PAGAI-SIPORA,1.05
PAMAGIRAT,WS ANAI-SIBERUT-PAGAI-SIPORA,1.05
JOLUO,WS ANAI-SIBERUT-PAGAI-SIPORA,1.03
LAGGOLSAO,WS ANAI-SIBERUT-PAGAI-SIPORA,1.02
JATI,WS ANAI-SIBERUT-PAGAI-SIPORA,1.01
TELEBBU,WS ANAI-SIBERUT-PAGAI-SIPORA,1.0
PUSAWATSABEU,WS ANAI-SIBERUT-PAGAI-SIPORA,1.0
SABOLA,WS ANAI-SIBERUT-PAGAI-SIPORA,0.98
SIPADAOMANG,WS ANAI-SIBERUT-PAGAI-SIPORA,0.96
KABOLAK,WS ANAI-SIBERUT-PAGAI-SIPORA,0.96
MABOLAK LAMA,WS ANAI-SIBERUT-PAGAI-SIPORA,0.96
SILAOINAN,WS ANAI-SIBERUT-PAGAI-SIPORA,0.93
ASANSABEU,WS ANAI-SIBERUT-PAGAI-SIPORA,0.89
MUNTAI 1,WS ANAI-SIBERUT-PAGAI-SIPORA,0.88
MONGALETU,WS ANAI-SIBERUT-PAGAI-SIPORA,0.88
ASABAKE,WS ANAI-SIBERUT-PAGAI-SIPORA,0.87
TOBEKGOISO,WS ANAI-SIBERUT-PAGAI-SIPORA,0.86
MAPINANG SIKAKAP,WS ANAI-SIBERUT-PAGAI-SIPORA,0.86
SOKWATRIK,WS ANAI-SIBERUT-PAGAI-SIPORA,0.84
BERIKOPET,WS ANAI-SIBERUT-PAGAI-SIPORA,0.84
SINGINGI,WS ANAI-SIBERUT-PAGAI-SIPORA,0.84
PENU,WS ANAI-SIBERUT-PAGAI-SIPORA,0.83
MUNTAI 2,WS ANAI-SIBERUT-PAGAI-SIPORA,0.83
TESIGOGOA,WS ANAI-SIBERUT-PAGAI-SIPORA,0.83
SIMAGANJO,WS ANAI-SIBERUT-PAGAI-SIPORA,0.82
PINAIRUK BARU,WS ANAI-SIBERUT-PAGAI-SIPORA,0.82
SOUMANG,WS ANAI-SIBERUT-PAGAI-SIPORA,0.81
LEBBU,WS ANAI-SIBERUT-PAGAI-SIPORA,0.78
TAJATJATI,WS ANAI-SIBERUT-PAGAI-SIPORA,0.77
PAMANUAN UTARA,WS ANAI-SIBERUT-PAGAI-SIPORA,0.76
PAMINTAJAT,WS ANAI-SIBERUT-PAGAI-SIPORA,0.74
SIOPASIGOISO,WS ANAI-SIBERUT-PAGAI-SIPORA,0.71
SARGALAT,WS ANAI-SIBERUT-PAGAI-SIPORA,0.71
SINIAI,WS ANAI-SIBERUT-PAGAI-SIPORA,0.7
PAMALIBARU,WS ANAI-SIBERUT-PAGAI-SIPORA,0.7
LELEUBUKKU,WS ANAI-SIBERUT-PAGAI-SIPORA,0.69
SOLAWI,WS ANAI-SIBERUT-PAGAI-SIPORA,0.64
TUNGGUT,WS ANAI-SIBERUT-PAGAI-SIPORA,0.63
GANJOBO,WS ANAI-SIBERUT-PAGAI-SIPORA,0.62
SIMABOLA KECIL,WS ANAI-SIBERUT-PAGAI-SIPORA,0.62
POUPOU,WS ANAI-SIBERUT-PAGAI-SIPORA,0.62
MASINGIANG BATAJA,WS ANAI-SIBERUT-PAGAI-SIPORA,0.61
MABULAUBUGGEI,WS ANAI-SIBERUT-PAGAI-SIPORA,0.6
LUMUT,WS ANAI-SIBERUT-PAGAI-SIPORA,0.6
MASUSU,WS ANAI-SIBERUT-PAGAI-SIPORA,0.6
SAGAI,WS ANAI-SIBERUT-PAGAI-SIPORA,0.59
TUNANG TUGGUT,WS ANAI-SIBERUT-PAGAI-SIPORA,0.59
SILABU SABEU,WS ANAI-SIBERUT-PAGAI-SIPORA,0.58
KINUMBUK,WS ANAI-SIBERUT-PAGAI-SIPORA,0.58
BULAT MONGA 2,WS ANAI-SIBERUT-PAGAI-SIPORA,0.54
BREAT,WS ANAI-SIBERUT-PAGAI-SIPORA,0.51
TOBEK,WS ANAI-SIBERUT-PAGAI-SIPORA,0.49
PITOJET SIGOISA,WS ANAI-SIBERUT-PAGAI-SIPORA,0.48
LABATJAU,WS ANAI-SIBERUT-PAGAI-SIPORA,0.47
GUGUSAN GOSONG EROPA,WS ANAI-SIBERUT-PAGAI-SIPORA,0.44
SIMAPINANG,WS ANAI-SIBERUT-PAGAI-SIPORA,0.43
SIPANUNG,WS ANAI-SIBERUT-PAGAI-SIPORA,0.43
KATEITEI,WS ANAI-SIBERUT-PAGAI-SIPORA,0.4
TASIGOGOA,WS ANAI-SIBERUT-PAGAI-SIPORA,0.4
SIMALILIMO 2,WS ANAI-SIBERUT-PAGAI-SIPORA,0.34
SILOINA,WS ANAI-SIBERUT-PAGAI-SIPORA,0.34
MANYANG KECIL,WS ANAI-SIBERUT-PAGAI-SIPORA,0.28
BERIKURET,WS ANAI-SIBERUT-PAGAI-SIPORA,0.27
SIKATCIU,WS ANAI-SIBERUT-PAGAI-SIPORA,0.26
SIKANTOET,WS ANAI-SIBERUT-PAGAI-SIPORA,0.24
MASINGIT MAKALO,WS ANAI-SIBERUT-PAGAI-SIPORA,0.18
LEBUAT SABEU,WS ANAI-SIBERUT-PAGAI-SIPORA,0.18
BAKATBENUANG,WS ANAI-SIBERUT-PAGAI-SIPORA,0.16
SIMASINGITNGIT,WS ANAI-SIBERUT-PAGAI-SIPORA,0.15
