nama_das,nama_ws_induk,luas_das_km2
MEUNTAH BATEE,WS ACEH-MEUREUDU,1.0
UJUNG TUAN DIKALA,WS ACEH-MEUREUDU,1.01
LUENG CIDE,WS ACEH-MEUREUDU,0.99
GUDA MEUH,WS ACEH-MEUREUDU,0.97
PASI JANENG,WS ACEH-MEUREUDU,0.96
LHOK KEUTAPANG 2,WS ACEH-MEUREUDU,0.93
ARUN,WS ACEH-MEUREUDU,0.92
ALUE NANYE,WS ACEH-MEUREUDU,0.9
MUARA TIGA 4,WS ACEH-MEUREUDU,0.91
IBOIH 2,WS ACEH-MEUREUDU,0.9
UJUNG PANAH,WS ACEH-MEUREUDU,3.43
UJUNG REUTEUK 2,WS ACEH-MEUREUDU,0.87
TEUPIN ANOI 2,WS ACEH-MEUREUDU,2.02
KRUENG TEUNGKU SIPHEUT 5,WS ACEH-MEUREUDU,0.86
SAMPOENIET PULO,WS ACEH-MEUREUDU,0.87
LHOKSEUDU,WS ACEH-MEUREUDU,0.84
ALUE LE SRUT,WS ACEH-MEUREUDU,0.85
ULEE NAGA,WS ACEH-MEUREUDU,0.86
DEUDAP,WS ACEH-MEUREUDU,0.82
KUTA ATEUH,WS ACEH-MEUREUDU,2.31
MOMONG,WS ACEH-MEUREUDU,0.81
TEUKU RAHMAN,WS ACEH-MEUREUDU,0.79
KAREUNG,WS ACEH-MEUREUDU,0.78
GUA SARANG,WS ACEH-MEUREUDU,0.77
LHOK MATAIE,WS ACEH-MEUREUDU,0.76
ALUE MENGAP,WS ACEH-MEUREUDU,0.78
UJUNG BATEE INCIN,WS ACEH-MEUREUDU,0.73
ARUN 3,WS ACEH-MEUREUDU,0.71
KRUENG BATEE MEUKEURENDA 4,WS ACEH-MEUREUDU,0.69
MULIENG,WS ACEH-MEUREUDU,0.66
LHONG OT,WS ACEH-MEUREUDU,0.65
KRUENG TEUNGKU 4,WS ACEH-MEUREUDU,0.65
PLOK GAPU,WS ACEH-MEUREUDU,0.61
UJONG AYON RAYEUK,WS ACEH-MEUREUDU,0.66
RABO,WS ACEH-MEUREUDU,0.64
ANOE ITAM 3,WS ACEH-MEUREUDU,0.64
LAM PAGEUE,WS ACEH-MEUREUDU,0.66
KRUENG TEUNGKU 3,WS ACEH-MEUREUDU,0.61
KRUENG LAMPANAH 2,WS ACEH-MEUREUDU,0.64
UJUNG RAYA,WS ACEH-MEUREUDU,0.59
ALUE SENAMMA,WS ACEH-MEUREUDU,0.61
COT KUALA,WS ACEH-MEUREUDU,0.6
UJUNG LABUHAN,WS ACEH-MEUREUDU,0.59
KRUENG TEUNGKU SIPHEUT 4,WS ACEH-MEUREUDU,0.57
TUAN DIBUKIT,WS ACEH-MEUREUDU,0.58
UJUNG DEMIET,WS ACEH-MEUREUDU,0.56
PARO,WS ACEH-MEUREUDU,0.56
UJUNG MEUGULUNG,WS ACEH-MEUREUDU,0.53
