ws_name,layer_name,ext,filename,drive_file_id
WS_BENGKALIS_MERANTI,TutupanLahan,dbf,TutupanLahan_WS_BENGKALIS_MERANTI.dbf,1XIpBmBDONsS7LT7RkvDUlIQj4xadEGxr
WS_BENGKALIS_MERANTI,TutupanLahan,cpg,TutupanLahan_WS_BENGKALIS_MERANTI.cpg,1QkHYedqV77slTvhleKrgMgiwktthn0Pk
WS_BENGKALIS_MERANTI,TutupanLahan,prj,TutupanLahan_WS_BENGKALIS_MERANTI.prj,12RP3bT8EmY8ohHKDe_BkBui4hf1plyZs
WS_BENGKALIS_MERANTI,TutupanLahan,shx,TutupanLahan_WS_BENGKALIS_MERANTI.shx,1mR0M-wDe_urYWjtEl83JN7bvuElby3Ba
WS_BENGKALIS_MERANTI,TutupanLahan,shp,TutupanLahan_WS_BENGKALIS_MERANTI.shp,170Qm9r_HGkgZoFE0ZmMcDuTXs5kRnrgh
WS_BENGKALIS_MERANTI,KawasanHutan,prj,KawasanHutan_WS_BENGKALIS_MERANTI.prj,1jqMC7O3uEs_BfB0ps51-depQgNZzji4v
WS_BENGKALIS_MERANTI,KawasanHutan,dbf,KawasanHutan_WS_BENGKALIS_MERANTI.dbf,1iboG_CSP3eNzOUBphBfoq0dmHqtYpNdJ
WS_BENGKALIS_MERANTI,KawasanHutan,shp,KawasanHutan_WS_BENGKALIS_MERANTI.shp,1CCevl9aA8hYIl-TAUrlhfZo7Jhr0vhuH
WS_BENGKALIS_MERANTI,KawasanHutan,shx,KawasanHutan_WS_BENGKALIS_MERANTI.shx,1skJA3Wd6vRz37gdfrIqXCgxg6Tf4o38T
WS_BENGKALIS_MERANTI,KawasanHutan,cpg,KawasanHutan_WS_BENGKALIS_MERANTI.cpg,13luhm-pZWyTSLCpAE3VDZBgK1QkI_bM5
WS_BENGKALIS_MERANTI,JenisTanah,prj,JenisTanah_WS_BENGKALIS_MERANTI.prj,1Hen4B6tl-Gf8tAnV_r2yqiDA9YlmXNij
WS_BENGKALIS_MERANTI,JenisTanah,shp,JenisTanah_WS_BENGKALIS_MERANTI.shp,12rPmgOaSWaktwSrPgVGi79aPcyRC9i_i
WS_BENGKALIS_MERANTI,JenisTanah,cpg,JenisTanah_WS_BENGKALIS_MERANTI.cpg,1hwsYIdnzjI_3NR6K1gcI-vjcmtouL-9Y
WS_BENGKALIS_MERANTI,JenisTanah,shx,JenisTanah_WS_BENGKALIS_MERANTI.shx,1N5o05wKmPXpunrFDMufEOmYhnFhEIEo1
WS_BENGKALIS_MERANTI,JenisTanah,dbf,JenisTanah_WS_BENGKALIS_MERANTI.dbf,1LbVUR6YMKHe6fmgCO-dUo8WJeaz3Njri
WS_BENGKALIS_MERANTI,Erosi,prj,Erosi_WS_BENGKALIS_MERANTI.prj,1yyaV4W0LIzTI2e4g1X_6k1qN2GcyQGj6
WS_BENGKALIS_MERANTI,Erosi,shp,Erosi_WS_BENGKALIS_MERANTI.shp,1on3QrJPgb1O_4wBwYkWkr2w67ch6BDZq
WS_BENGKALIS_MERANTI,Erosi,shx,Erosi_WS_BENGKALIS_MERANTI.shx,13f4imei4j8hMTqAtutoi0QSRpxR9WzAn
WS_BENGKALIS_MERANTI,Erosi,dbf,Erosi_WS_BENGKALIS_MERANTI.dbf,12iIxo7RI7X7AehhuYhH8xP3fOGoxNYk9
WS_BENGKALIS_MERANTI,Erosi,cpg,Erosi_WS_BENGKALIS_MERANTI.cpg,1_tIgQlYGeC5T-S7azDuX-waQVc3gmEaa
WS_BENGAWAN_SOLO,RURHLDAS,shx,RURHLDAS_WS_BENGAWAN_SOLO.shx,1im-NC9FhxSA6ifAU7Hsso1lfgQbksZIw
WS_BENGAWAN_SOLO,RURHLDAS,dbf,RURHLDAS_WS_BENGAWAN_SOLO.dbf,1PCY0USgc_Zvja3E3yk0eIih1Y6j50W_h
