WS,WADMPR,luas_km2
WS KEPULAUAN SERIBU,DKI Jakarta,17.463599523475747
WS KEPULAUAN SULA-OBI,Maluku Utara,7577.61406766836
WS KEPULAUAN YAMDENA-WETAR-KEI-ARU,Maluku,18320.40640390069
WS KUBU,Riau,2678.1479238550205
WS KUBU,Sumatera Utara,222.93147206300296
WS LAA-TAMBALAKO,Sulawesi Selatan,170.24872105887826
WS LAA-TAMBALAKO,Sulawesi Tengah,10663.464203326148
WS LAA-TAMBALAKO,Sulawesi Tenggara,1.8898938544367296
WS LAMBUNU-BUOL,Gorontalo,1.8311522992346556
WS LAMBUNU-BUOL,Sulawesi Tengah,12458.191317525292
WS LARONA MALILI,Sulawesi Selatan,11532.103155896566
WS LARONA MALILI,Sulawesi Tengah,188.21105395863017
WS LARONA MALILI,Sulawesi Tenggara,1278.255559644269
WS LASOLO-KONAWEHA,Sulawesi Selatan,3.169394896970241
WS LASOLO-KONAWEHA,Sulawesi Tengah,1044.635860478898
WS LASOLO-KONAWEHA,Sulawesi Tenggara,12874.810752029563
WS LIMBOTO BOLANGO-BONE,Gorontalo,4569.056547950079
WS LIMBOTO BOLANGO-BONE,Sulawesi Tengah,24.445397764817898
WS LIMBOTO BOLANGO-BONE,Sulawesi Utara,315.95954427280884
WS LOMBOK,Nusa Tenggara Barat,4570.543185418739
WS MAHAKAM,Kalimantan Barat,2.153330133711869
WS MAHAKAM,Kalimantan Tengah,152.77991753311582
WS MAHAKAM,Kalimantan Timur,80588.27852343151
WS MAHAKAM,Kalimantan Utara,4537.061559063233
WS MASANG-PASAMAN,Sumatera Barat,5573.4229555883385
WS MASANG-PASAMAN,Sumatera Utara,35.386197019743285
WS MEMBERAMO-ANDAIWAIREN-SENTANI TAMI,Papua,67802.24875584632
WS MEMBERAMO-ANDAIWAIREN-SENTANI TAMI,Papua Pegunungan,24891.448556325755
WS MEMBERAMO-ANDAIWAIREN-SENTANI TAMI,Papua Tengah,15721.224573374271
WS MEMPAWAH,Kalimantan Barat,3247.2097386481587
WS MENTAYA-KATINGAN,Kalimantan Barat,6.511483175131749
WS MENTAYA-KATINGAN,Kalimantan Tengah,34739.87269959151
WS MESUJI-TULANG BAWANG,Lampung,12239.387797152243
WS MESUJI-TULANG BAWANG,Sumatera Selatan,4646.850109634165
WS MUNA,Sulawesi Tenggara,3878.474473790417
WS MUSI-BANYUASIN-LEMAU,Bengkulu,2804.721264103071
WS MUSI-BANYUASIN-LEMAU,Jambi,3078.1210663412267
WS MUSI-BANYUASIN-LEMAU,Lampung,289.3320661749891
WS MUSI-BANYUASIN-LEMAU,Sumatera Selatan,81023.40425352952
WS NASAL-PADANG GUCI-ENGGANO,Bengkulu,4210.808635385284
WS NASAL-PADANG GUCI-ENGGANO,Lampung,58.06175774728638
WS NASAL-PADANG GUCI-ENGGANO,Sumatera Selatan,926.6027260711004
WS NIAS,Sumatera Utara,4137.427798365255
WS NOELMINA,Nusa Tenggara Timur,9369.814336563968
WS OMBA,Papua Barat,31121.15972888423
WS OMBA,Papua Tengah,5122.599282908223
WS PAGUYAMAN,Gorontalo,3498.097913959008
WS PALU-LARIANG,Sulawesi Barat,1628.282891562588
WS PALU-LARIANG,Sulawesi Selatan,1259.6692088414395
WS PALU-LARIANG,Sulawesi Tengah,11590.536378126772
WS PASEE-PEUSANGAN,Aceh,5848.01765479406
WS PAWAN,Kalimantan Barat,18036.47859106846
WS PAWAN,Kalimantan Tengah,0.5435388453760716
WS PEMALI-COMAL,Jawa Barat,0.171754089375117
WS PEMALI-COMAL,Jawa Tengah,4820.522201733826
WS PENGABUAN-LAGAN,Jambi,6787.981413276894
WS PENGABUAN-LAGAN,Riau,173.93397950500938
WS POIGAR-RANOYAPO,Sulawesi Utara,2338.0445243826825
WS POLEANG-RORAYA,Sulawesi Tenggara,7357.317979196648
WS POSO-PUNA-SAUSU,Sulawesi Selatan,263.7831965408078
WS POSO-PUNA-SAUSU,Sulawesi Tengah,8430.450212838477
WS PROGO-OPAK-SERANG,Daerah Istimewa Yogyakarta,3055.2438776850704
WS PROGO-OPAK-SERANG,Jawa Tengah,1935.3866908566608
WS PULAU LAUT,Kalimantan Selatan,2357.640196027572
WS RANDANGAN,Gorontalo,3727.714309508287
WS RANDANGAN,Sulawesi Tengah,244.17752000333664
WS RAWA,Riau,2309.0228743009407
WS ROKAN,Riau,16412.397782925706
WS ROKAN,Sumatera Barat,2261.698515453242
WS ROKAN,Sumatera Utara,3492.4128559859328
WS SADDANG,Sulawesi Barat,1619.9214981870564
WS SADDANG,Sulawesi Selatan,8688.935356286782
WS SAMBAS,Kalimantan Barat,10928.087180844554
WS SAMPEAN-SETAIL,Jawa Timur,4864.696523598469
WS SEBLAT-KETAHUN-LAIS,Bengkulu,5789.109235203375
WS SEBLAT-KETAHUN-LAIS,Jambi,0.7441264764427997
WS SEBLAT-KETAHUN-LAIS,Sumatera Selatan,9.10843207555397
WS SEMAKA,Lampung,6319.727571031678
WS SEMAKA,Sumatera Selatan,1.9129052765094317
WS SEPUTIH-SEKAMPUNG,Lampung,14662.7944252556
WS SERAYU-BOGOWONTO,Daerah Istimewa Yogyakarta,32.02775709740985
WS SERAYU-BOGOWONTO,Jawa Tengah,7348.582133104126
WS SERUYAN,Kalimantan Barat,2.002258994984248
WS SERUYAN,Kalimantan Tengah,15032.173616371598
WS SESAYAP,Kalimantan Utara,29429.873362181483
WS SIAK,Riau,14553.367264759449
WS SIBUNDONG-BATANG TORU,Sumatera Utara,7332.310444322432
WS SILAUT-TARUSAN,Bengkulu,41.20735984411906
WS SILAUT-TARUSAN,Jambi,664.1552088356026
WS SILAUT-TARUSAN,Sumatera Barat,6307.13140563006
WS SINGKIL-TAPUS-SIRAGIAN,Aceh,7736.47652307787
WS SINGKIL-TAPUS-SIRAGIAN,Sumatera Utara,5883.72737420968
WS SUMBA,Nusa Tenggara Timur,10914.183218065267
WS SUMBAWA,Nusa Tenggara Barat,15104.586478471583
WS TAMIANG-LANGSA,Aceh,6249.741302766277
WS TAMIANG-LANGSA,Sumatera Utara,35.883128631708225
WS TERAMANG-MUAR,Bengkulu,4080.003347646372
WS TERAMANG-MUAR,Jambi,1204.9431542502318
WS TERAMANG-MUAR,Sumatera Barat,13.289136111777331
WS TEUNOM-LAMBEUSO,Aceh,5204.312152426236
WS TOARI-LASUSUA,Sulawesi Selatan,68.02235737848022
WS TOARI-LASUSUA,Sulawesi Tenggara,5664.327925608709
WS TONDANO-SANGIHE-TALAUD-MIANGAS,Sulawesi Utara,4631.016808048271
WS WAMPU-BESITANG,Aceh,99.49608175957192
WS WAMPU-BESITANG,Sumatera Utara,7437.033121514049
WS WAPOGA-MIMIKA,Papua,14875.39077534515
WS WAPOGA-MIMIKA,Papua Barat,6.041880523620288
WS WAPOGA-MIMIKA,Papua Tengah,25177.86109841124
WS WELANG-PEKALEN,Jawa Timur,3059.7844656359407
WS WISO-GELIS,Jawa Tengah,656.5420827486543
WS WOYLA-BATEE-SIMEULUE,Aceh,13534.493279656312
