nama_ws,kode_ws,status_ws,luas_ws_km2,jumlah_das
WS MAHAKAM,04.13.A2,LINTAS PROVINSI,85284.65,119
WS MASANG-PASAMAN,01.18.B,LINTAS KABUPATEN/KOTA,5609.75,16
WS MEMBERAMO-ANDAIWAIREN-SENTANI TAMI,07.04.A1,LINTAS NEGARA,108419.1,175
WS MEMPAWAH,04.02.B,LINTAS KABUPATEN/KOTA,3247.21,82
WS MENTAYA-KATINGAN,04.07.A3,STRATEGIS NASIONAL,34746.38,16
WS MESUJI-TULANG BAWANG,01.41.A2,LINTAS PROVINSI,16889.11,6
WS MUNA,05.21.B,LINTAS KABUPATEN/KOTA,3879.66,260
WS MUSI-BANYUASIN-LEMAU,01.38.A2,LINTAS PROVINSI,87198.82,39
WS NASAL-PADANG GUCI-ENGGANO,01.37.A2,LINTAS PROVINSI,5196.74,54
WS NIAS,01.13.B,LINTAS KABUPATEN/KOTA,4137.72,72
WS NOELMINA,03.08.A1,LINTAS NEGARA,9370.27,480
WS OMBA,07.02.A2,LINTAS PROVINSI,36249.57,2104
WS PAGUYAMAN,05.05.A3,STRATEGIS NASIONAL,3498.1,112
WS PALU-LARIANG,05.08.A2,LINTAS PROVINSI,14478.49,178
WS PASEE-PEUSANGAN,01.03.B,LINTAS KABUPATEN/KOTA,5848.05,19
WS PAWAN,04.04.B,LINTAS KABUPATEN/KOTA,18037.02,62
WS PEMALI-COMAL,02.11.B,LINTAS KABUPATEN/KOTA,4820.69,30
WS PENGABUAN-LAGAN,01.32.B,LINTAS KABUPATEN/KOTA,6961.92,5
WS POIGAR-RANOYAPO,05.02.B,LINTAS KABUPATEN/KOTA,2338.04,109
WS POLEANG-RORAYA,05.20.B,LINTAS KABUPATEN/KOTA,7357.67,495
WS POSO-PUNA-SAUSU,05.09.A2,LINTAS PROVINSI,8694.23,207
WS PROGO-OPAK-SERANG,02.17.A2,LINTAS PROVINSI,4990.63,6
WS PULAU LAUT,04.11.C,DALAM SATU KABUPATEN/KOTA,2358.44,162
WS RANDANGAN,05.06.A2,LINTAS PROVINSI,3971.89,85
WS RAWA,01.24.B,LINTAS KABUPATEN/KOTA,2309.02,8
WS ROKAN,01.21.A2,LINTAS PROVINSI,22166.51,21
WS SADDANG,05.15.A2,LINTAS PROVINSI,10308.96,160
WS SAMBAS,04.01.B,LINTAS KABUPATEN/KOTA,10930.3,32
WS SAMPEAN-SETAIL,02.23.B,LINTAS KABUPATEN/KOTA,4865.18,110
WS SEBLAT-KETAHUN-LAIS,01.35.B,LINTAS KABUPATEN/KOTA,5798.96,26
WS SEMAKA,01.42.B,LINTAS KABUPATEN/KOTA,6325.16,718
WS SEPUTIH-SEKAMPUNG,01.43.A3,STRATEGIS NASIONAL,14663.72,142
WS SERAYU-BOGOWONTO,02.12.A3,STRATEGIS NASIONAL,7380.61,16
WS SERUYAN,04.06.B,LINTAS KABUPATEN/KOTA,15034.18,22
WS SESAYAP,04.17.A1,LINTAS NEGARA,29440.36,212
WS SIAK,01.23.A3,STRATEGIS NASIONAL,14553.37,2
WS SIBUNDONG-BATANG TORU,01.14.B,LINTAS KABUPATEN/KOTA,7332.31,71
WS SILAUT-TARUSAN,01.19.B,LINTAS KABUPATEN/KOTA,7012.49,137
WS SINGKIL-TAPUS-SIRAGIAN,01.08.A2,LINTAS PROVINSI,13620.2,99
WS SUMBA,03.04.B,LINTAS KABUPATEN/KOTA,10915.71,467
